AS,IPv4_Num
AS27176,20736
AS34788,20736
AS38001,20736
AS395336,20736
AS39921,20736
AS54288,20736
AS133752,20480
AS139057,20480
AS140107,20480
AS146993,20480
AS15691,20480
AS17931,20480
AS263735,20480
AS266181,20480
AS32477,20480
AS34879,20480
AS3931,20480
AS41132,20480
AS43317,20480
AS46746,20480
AS50867,20480
AS53231,20480
AS56067,20480
AS57534,20480
AS6250,20480
AS63474,20480
AS7258,20480
AS13097,20224
AS210512,20224
AS31736,20224
AS54252,20224
AS55154,20224
AS8749,20224
AS9999,20224
AS12731,19968
AS12942,19968
AS136557,19968
AS15766,19968
AS18563,19968
AS207023,19968
AS265171,19968
AS29134,19968
AS30500,19968
AS3324,19968
AS33606,19968
AS34918,19968
AS42845,19968
AS52030,19968
AS53356,19968
AS54643,19968
AS63473,19968
AS9530,19968
AS11563,19712
AS132111,19712
AS134697,19712
AS13911,19712
AS14116,19712
AS203963,19712
AS20926,19712
AS28195,19712
AS33055,19712
AS398704,19712
AS45014,19712
AS48282,19712
AS53057,19712
AS5504,19712
AS56308,19712
AS56911,19712
AS60458,19712
AS9312,19712
AS10032,19456
AS12488,19456
AS131392,19456
AS1610,19456
AS198317,19456
AS200019,19456
AS262710,19456
AS28278,19456
AS38482,19456
AS39397,19456
AS397849,19456
AS42612,19456
AS43797,19456
AS47215,19456
AS63614,19456
AS9578,19456
AS14210,19200
AS142403,19200
AS15743,19200
AS16125,19200
AS196752,19200
AS210542,19200
AS33984,19200
AS36097,19200
AS43352,19200
AS50837,19200
AS63440,19200
AS11402,18944
AS133159,18944
AS14956,18944
AS17660,18944
AS21396,18944
AS24641,18944
AS31083,18944
AS33561,18944
AS39756,18944
AS52967,18944
AS133115,18688
AS14315,18688
AS15497,18688
AS26891,18688
AS27283,18688
AS31857,18688
AS34863,18688
AS38026,18688
AS48326,18688
AS57844,18688
AS133380,18432
AS18233,18432
AS19366,18432
AS200999,18432
AS203476,18432
AS208770,18432
AS20912,18432
AS24151,18432
AS25832,18432
AS262545,18432
AS29611,18432
AS32491,18432
AS36007,18432
AS393398,18432
AS394991,18432
AS40009,18432
AS41535,18432
AS43541,18432
AS51395,18432
AS51847,18432
AS6717,18432
AS10587,18176
AS199967,18176
AS23588,18176
AS25393,18176
AS32760,18176
AS4358,18176
AS51669,18176
AS55017,18176
AS11115,17920
AS12462,17920
AS139259,17920
AS14001,17920
AS14244,17920
AS15960,17920
AS17216,17920
AS21735,17920
AS24611,17920
AS28594,17920
AS328029,17920
AS33227,17920
AS6786,17920
AS1215,17664
AS1218,17664
AS134450,17664
AS134823,17664
AS14010,17664
AS17426,17664
AS18780,17664
AS19194,17664
AS197033,17664
AS201814,17664
AS22753,17664
AS24766,17664
AS25435,17664
AS26383,17664
AS34572,17664
AS34624,17664
AS39290,17664
AS393886,17664
AS39591,17664
AS40511,17664
AS4261,17664
AS43927,17664
AS44375,17664
AS45382,17664
AS50399,17664
AS60717,17664
AS9104,17664
AS10732,17408
AS15663,17408
AS200521,17408
AS200590,17408
AS21700,17408
AS25697,17408
AS28824,17408
AS34895,17408
AS35680,17408
AS35751,17408
AS37055,17408
AS39287,17408
AS45179,17408
AS48434,17408
AS49532,17408
AS51430,17408
AS57169,17408
AS62282,17408
AS63770,17408
AS6764,17408
AS7040,17408
AS7503,17408
AS8251,17408
AS8299,17408
AS8613,17408
AS8723,17408
AS8934,17408
AS10670,17152
AS12348,17152
AS15022,17152
AS15216,17152
AS15626,17152
AS17139,17152
AS201471,17152
AS21980,17152
AS25145,17152
AS25593,17152
AS41665,17152
AS47544,17152
AS54574,17152
AS60404,17152
AS61207,17152
AS8351,17152
AS10984,16896
AS11522,16896
AS13287,16896
AS136897,16896
AS14131,16896
AS15657,16896
AS19528,16896
AS19940,16896
AS202448,16896
AS210619,16896
AS21623,16896
AS25151,16896
AS25306,16896
AS28362,16896
AS29608,16896
AS36473,16896
AS394901,16896
AS48851,16896
AS50522,16896
AS55106,16896
AS62370,16896
AS8839,16896
AS10085,16640
AS10135,16640
AS11045,16640
AS14519,16640
AS16880,16640
AS199860,16640
AS211307,16640
AS22435,16640
AS30988,16640
AS33333,16640
AS394453,16640
AS398712,16640
AS54163,16640
AS5564,16640
AS56485,16640
AS56694,16640
AS60490,16640
AS6204,16640
AS11579,16384
AS12512,16384
AS12907,16384
AS134729,16384
AS13909,16384
AS16423,16384
AS17185,16384
AS17910,16384
AS20723,16384
AS21803,16384
AS22549,16384
AS26637,16384
AS2901,16384
AS30736,16384
AS328414,16384
AS36421,16384
AS39834,16384
AS400619,16384
AS49101,16384
AS49120,16384
AS49483,16384
AS51048,16384
AS53038,16384
AS57333,16384
AS62387,16384
AS8739,16384
AS9667,16384
AS20472,16128
AS20546,16128
AS33941,16128
AS36057,16128
AS397086,16128
AS41175,16128
AS44381,16128
AS45638,16128
AS48715,16128
AS58003,16128
AS63612,16128
AS131310,15872
AS139648,15872
AS16186,15872
AS16205,15872
AS16552,15872
AS16628,15872
AS201035,15872
AS20677,15872
AS208951,15872
AS24936,15872
AS25843,15872
AS29513,15872
AS33480,15872
AS36443,15872
AS39020,15872
AS395567,15872
AS4150,15872
AS42927,15872
AS44901,15872
AS47720,15872
AS48737,15872
AS54412,15872
AS62610,15872
AS7799,15872
AS8208,15872
AS12044,15616
AS14280,15616
AS16128,15616
AS19842,15616
AS2639,15616
AS3170,15616
AS46309,15616
AS46433,15616
AS49242,15616
AS5404,15616
AS7590,15616
AS8194,15616
AS9303,15616
AS11049,15360
AS13790,15360
AS141167,15360
AS16083,15360
AS205275,15360
AS30058,15360
AS3259,15360
AS35100,15360
